sku;name;categoria;tipo;estilo;corte;cuello;composicion;price;special_price;link_producto;link_imagen;product_type;temporada;Talles-disponibles
Z0021DAZ01;RemeraDazur;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021daz01;https://burgues.com/media/catalog/product/z/0/z0021daz-remera-dazur-blanco-1.jpg;configurable;ARCHIVE;S|M|L|XL|XXL
Z0021DAZ28;RemeraDazur;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021daz28;https://burgues.com/media/catalog/product/z/0/z0021daz-remera-dazur-aero-1.jpg;configurable;ARCHIVE;
Z0021DAZ21;RemeraDazur;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021daz21;https://burgues.com/media/catalog/product/z/0/z0021daz-remera-dazur-azul-1.jpg;configurable;ARCHIVE;S|M
Z0021BIA01;RemeraBiarritz;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021bia01;https://burgues.com/media/catalog/product/z/0/z0021bia-biarritz-blanco-1.jpg;configurable;ARCHIVE;S|M|L|XL|XXL
Z0021BIA10;RemeraBiarritz;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021bia10;https://burgues.com/media/catalog/product/z/0/z0021bia-biarritz-negro-1.jpg;configurable;ARCHIVE;S|M|L
Z0021BIA21;RemeraBiarritz;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021bia21;https://burgues.com/media/catalog/product/z/0/z0021bia-biarritz-azul-1.jpg;configurable;ARCHIVE;S|M|L
Z0021CON10;RemeraConnor;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021con10;https://burgues.com/media/catalog/product/z/0/z0021con-connor-negro-1.jpg;configurable;ARCHIVE;
Z0021CON01;RemeraConnor;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021con01;https://burgues.com/media/catalog/product/z/0/z0021con-connor-blanco-1.jpg;configurable;ARCHIVE;
Z0021CON21;RemeraConnor;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021con21;https://burgues.com/media/catalog/product/z/0/z0021con-connor-azul-1.jpg;configurable;ARCHIVE;
Z0021ERM01;RemeraErme;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021erm01;https://burgues.com/media/catalog/product/z/0/z0021erm-erme-blanco-1.jpg;configurable;ARCHIVE;S|XXL
Z0021ERM10;RemeraErme;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021erm10;https://burgues.com/media/catalog/product/z/0/z0021erm-remera-erme-negro-1.jpg;configurable;ARCHIVE;
Z0021ERM21;RemeraErme;Remeras;Remeras;Sport;ClassicFit;;100%Algodón;70000;34900;z0021erm21;https://burgues.com/media/catalog/product/z/0/z0021erm-erme-azul-1.jpg;configurable;ARCHIVE;S|M
T0052BELD5;CamisaBélgica|PuroLino;Camisas;Camisas;Vestir;;;100%Lino;239900;199900;t0052beld5;https://burgues.com/media/catalog/product/t/0/t0052beld5_1090.jpg;configurable;ARCHIVE;XS|S|XL|XXL|3XL
T0052BELD1;CamisaBélgica|PuroLino;Camisas;Camisas;Vestir;;;100%Lino;239900;199900;t0052beld1;https://burgues.com/media/catalog/product/t/0/t0052beld1_0770.jpg;configurable;ARCHIVE;
T0052BELD7;CamisaBélgica|PuroLino;Camisas;Camisas;Vestir;;;100%Lino;239900;199900;t0052beld7;https://burgues.com/media/catalog/product/t/0/t0052beld7_1032.jpg;configurable;ARCHIVE;XS|M|L|XL|XXL
I2064GEMC1;CamperaGem;Abrigos;Camperas;Vestir;Regular;;100%Algodón;200000;160000;i2064gemc1;https://burgues.com/media/catalog/product/i/2/i2064gemc1.jpg;configurable;ARCHIVE;
V2273TUL30;PantalónTulum;Pantalones;Pantalones;Vestir;SlimFit;;100%Lino;115000;75000;v2273tul30;https://burgues.com/media/catalog/product/v/2/v2273tul30.jpg;configurable;ARCHIVE;
V2273TUL10;PantalónTulum;Pantalones;Pantalones;Vestir;SlimFit;;100%Lino;115000;75000;v2273tul10;https://burgues.com/media/catalog/product/v/2/v2273tul10.jpg;configurable;ARCHIVE;
V2273TUL21;PantalónTulum;Pantalones;Pantalones;Vestir;SlimFit;;100%Lino;115000;75000;v2273tul21;https://burgues.com/media/catalog/product/v/2/v2273tul21.jpg;configurable;ARCHIVE;
B0076MAG15;TrajedeBañoMagie;Trajesdebaño;Trajesdebaño;Sport;ClassicFit;;100%Poliamida;109900;69900;b0076mag15;https://burgues.com/media/catalog/product/b/0/b0076mag15_1313.jpg;configurable;ARCHIVE;S|M|L|XL|XXL
B0076MAG35;TrajedeBañoMagie;Trajesdebaño;Trajesdebaño;Sport;ClassicFit;;100%Poliamida;109900;69900;b0076mag35;https://burgues.com/media/catalog/product/b/0/b0076mag35_1065.jpg;configurable;ARCHIVE;S|L|XXL
S0097ROM10;SandaliaRoman;Shoes;Sandalias;Sport;;;100%CueroVacuno;99000;59000;s0097rom10;https://burgues.com/media/catalog/product/_/l/_lr04971.jpg;configurable;ARCHIVE;
S0097ROM69;SandaliaRoman;Shoes;Sandalias;Sport;;;100%CueroVacuno;99000;59000;s0097rom69;https://burgues.com/media/catalog/product/s/0/s0097rom69.jpg;configurable;ARCHIVE;
V2297DOR10;SandaliaDort;Shoes;Sandalias;Sport;;;100%CueroVacuno;99000;59000;v2297dor10;https://burgues.com/media/catalog/product/v/2/v2297dor10.jpg;configurable;ARCHIVE;
T0021BAS10;RemeraBasic|PimaPeruano;Remeras;Remeras;Vestir;Classic;CuelloRedondo;100%Algodón;89900;49900;t0021bas10;https://burgues.com/media/catalog/product/t/0/t0021bas10-5.jpg;configurable;ARCHIVE;XS
T0021BAS11;RemeraBasic|PimaPeruano;Remeras;Remeras;Vestir;Classic;CuelloRedondo;100%Algodón;89900;49900;t0021bas11;https://burgues.com/media/catalog/product/t/0/t0021bas11-1_1_.jpg;configurable;ARCHIVE;
T0021BAS12;RemeraBasicPimaPeruano;Remeras;Remeras;Vestir;Classic;CuelloRedondo;CottonBlend|50%Algodón-50%Poliéster;89900;49900;t0021bas12;https://burgues.com/media/catalog/product/t/0/t0021bas12_0085.jpg;configurable;ARCHIVE;XS|S|M|XL|XXL
